total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
175600.0,-650600.0,-650600,0,0,0,1,4,15,36,264,217,434
161200.0,-665000.0,-665000,0,0,0,0,4,19,51,235,221,419
176400.0,-649800.0,-649800,0,0,0,1,1,24,37,271,232,449
155900.0,-670300.0,-670300,0,0,0,0,3,29,33,239,184,468
172500.0,-653700.0,-653700,0,0,0,1,2,20,30,269,232,432
162300.0,-663900.0,-663900,0,0,0,0,5,20,39,284,181,461
150900.0,-675300.0,-675300,0,0,0,0,1,24,39,275,192,462
154800.0,-671400.0,-671400,0,0,0,1,0,16,31,257,191,457
145900.0,-680300.0,-680300,0,0,0,0,1,17,39,253,202,470
154600.0,-671600.0,-671600,0,0,0,0,2,9,41,296,234,466
312700.0,-513500.0,-513500,0,0,1,0,4,23,37,269,212,442
146300.0,-679900.0,-679900,0,0,0,0,2,19,43,245,177,460
176800.0,-649400.0,-649400,0,0,0,1,4,21,31,248,199,470
185300.0,-640900.0,-640900,0,0,0,2,2,17,31,247,196,474
180800.0,-645400.0,-645400,0,0,0,1,5,18,44,268,188,444
205700.0,-620500.0,-620500,0,0,0,2,4,21,41,248,210,497
152100.0,-674100.0,-674100,0,0,0,1,1,12,29,263,176,454
155700.0,-670500.0,-670500,0,0,0,0,2,26,44,254,201,437
149900.0,-676300.0,-676300,0,0,0,0,2,17,34,260,226,435
165700.0,-660500.0,-660500,0,0,0,0,4,19,49,246,222,459
163400.0,-662800.0,-662800,0,0,0,0,4,23,40,248,215,452
151900.0,-674300.0,-674300,0,0,0,0,4,14,25,311,203,430
151900.0,-674300.0,-674300,0,0,0,0,2,19,34,254,224,449
148100.0,-678100.0,-678100,0,0,0,0,3,15,37,244,208,433
365300.0,-460900.0,-460900,0,0,1,3,3,24,33,264,201,443
170500.0,-655700.0,-655700,0,0,0,1,2,15,35,270,232,431
138100.0,-688100.0,-688100,0,0,0,0,1,19,27,269,184,444
161900.0,-664300.0,-664300,0,0,0,0,4,26,30,273,199,460
157300.0,-668900.0,-668900,0,0,0,0,3,17,41,258,216,463
165000.0,-661200.0,-661200,0,0,0,1,1,14,37,278,207,458
194200.0,-632000.0,-632000,0,0,0,2,2,23,40,243,231,413
167800.0,-658400.0,-658400,0,0,0,1,0,30,34,261,196,449
158400.0,-667800.0,-667800,0,0,0,0,3,21,42,276,205,442
148400.0,-677800.0,-677800,0,0,0,0,4,16,25,267,193,443
169000.0,-657200.0,-657200,0,0,0,0,6,21,32,274,223,434
149100.0,-677100.0,-677100,0,0,0,0,3,18,35,236,200,451
160400.0,-665800.0,-665800,0,0,0,0,2,26,39,269,218,455
164300.0,-661900.0,-661900,0,0,0,1,3,15,27,241,195,464
