cost,prize,profit,draws,max_drawdown,h61,h60,h51
87600,14000.0,-73600.0,167,-73600.0,0,0,0
87600,18300.0,-69300.0,167,-69300.0,0,0,0
87600,17600.0,-70000.0,167,-70000.0,0,0,0
87600,14300.0,-73300.0,167,-73300.0,0,0,0
87600,18400.0,-69200.0,167,-69200.0,0,0,0
87600,13300.0,-74300.0,167,-74300.0,0,0,0
87600,35400.0,-52200.0,167,-52200.0,0,0,0
87600,14600.0,-73000.0,167,-73000.0,0,0,0
87600,14000.0,-73600.0,167,-73600.0,0,0,0
87600,15000.0,-72600.0,167,-72600.0,0,0,0
87600,15700.0,-71900.0,167,-71900.0,0,0,0
87600,24000.0,-63600.0,167,-63600.0,0,0,0
87600,13000.0,-74600.0,167,-74600.0,0,0,0
87600,18000.0,-69600.0,167,-69600.0,0,0,0
87600,15400.0,-72200.0,167,-72200.0,0,0,0
87600,13800.0,-73800.0,167,-73800.0,0,0,0
87600,14000.0,-73600.0,167,-73600.0,0,0,0
87600,20900.0,-66700.0,167,-66700.0,0,0,0
87600,13800.0,-73800.0,167,-73800.0,0,0,0
87600,15400.0,-72200.0,167,-72200.0,0,0,0
87600,13300.0,-74300.0,167,-74300.0,0,0,0
87600,23600.0,-64000.0,167,-64000.0,0,0,0
87600,16000.0,-71600.0,167,-71600.0,0,0,0
87600,13400.0,-74200.0,167,-74300.0,0,0,0
87600,39400.0,-48200.0,167,-48200.0,0,0,0
87600,15500.0,-72100.0,167,-72100.0,0,0,0
87600,17700.0,-69900.0,167,-69900.0,0,0,0
87600,15800.0,-71800.0,167,-71800.0,0,0,0
87600,15300.0,-72300.0,167,-72300.0,0,0,0
87600,14900.0,-72700.0,167,-72700.0,0,0,0
87600,16400.0,-71200.0,167,-71200.0,0,0,0
87600,35000.0,-52600.0,167,-52600.0,0,0,0
87600,13900.0,-73700.0,167,-73700.0,0,0,0
87600,15400.0,-72200.0,167,-72200.0,0,0,0
87600,16800.0,-70800.0,167,-70800.0,0,0,0
87600,13600.0,-74000.0,167,-74000.0,0,0,0
87600,20000.0,-67600.0,167,-67600.0,0,0,0
87600,14200.0,-73400.0,167,-73400.0,0,0,0
87600,14700.0,-72900.0,167,-72900.0,0,0,0
87600,15100.0,-72500.0,167,-72500.0,0,0,0
87600,13400.0,-74200.0,167,-74200.0,0,0,0
87600,14700.0,-72900.0,167,-72900.0,0,0,0
87600,21900.0,-65700.0,167,-65700.0,0,0,0
87600,15000.0,-72600.0,167,-72600.0,0,0,0
87600,13200.0,-74400.0,167,-74400.0,0,0,0
87600,17700.0,-69900.0,167,-69900.0,0,0,0
87600,15400.0,-72200.0,167,-72200.0,0,0,0
87600,16200.0,-71400.0,167,-71400.0,0,0,0
87600,14700.0,-72900.0,167,-72900.0,0,0,0
87600,13900.0,-73700.0,167,-73700.0,0,0,0
87600,13500.0,-74100.0,167,-74100.0,0,0,0
87600,20300.0,-67300.0,167,-67300.0,0,0,0
87600,17300.0,-70300.0,167,-70300.0,0,0,0
87600,15900.0,-71700.0,167,-71700.0,0,0,0
87600,37900.0,-49700.0,167,-49700.0,0,0,0
87600,17100.0,-70500.0,167,-70500.0,0,0,0
87600,13600.0,-74000.0,167,-74000.0,0,0,0
87600,16200.0,-71400.0,167,-71400.0,0,0,0
87600,18200.0,-69400.0,167,-69400.0,0,0,0
87600,17600.0,-70000.0,167,-70000.0,0,0,0
87600,24100.0,-63500.0,167,-63900.0,0,0,0
87600,13700.0,-73900.0,167,-74300.0,0,0,0
87600,15800.0,-71800.0,167,-71800.0,0,0,0
87600,18500.0,-69100.0,167,-69100.0,0,0,0
87600,34500.0,-53100.0,167,-53100.0,0,0,0
87600,14900.0,-72700.0,167,-72700.0,0,0,0
87600,13900.0,-73700.0,167,-73700.0,0,0,0
87600,20400.0,-67200.0,167,-67200.0,0,0,0
87600,15300.0,-72300.0,167,-72300.0,0,0,0
87600,15400.0,-72200.0,167,-72200.0,0,0,0
87600,17200.0,-70400.0,167,-70400.0,0,0,0
87600,14400.0,-73200.0,167,-73200.0,0,0,0
