total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
164900.0,-649500.0,-649500,0,0,0,1,2,16,40,278,192,419
144500.0,-669900.0,-669900,0,0,0,0,4,10,37,247,177,456
140100.0,-674300.0,-674300,0,0,0,0,1,19,39,226,199,429
152000.0,-662400.0,-663200,0,0,0,0,4,26,29,239,176,445
142200.0,-672200.0,-672200,0,0,0,0,0,23,34,260,197,448
158600.0,-655800.0,-655800,0,0,0,1,1,13,32,258,205,446
146000.0,-668400.0,-668400,0,0,0,0,2,13,34,268,209,454
137100.0,-677300.0,-677300,0,0,0,0,0,24,36,244,173,445
136600.0,-677800.0,-677800,0,0,0,0,0,21,30,260,207,404
165600.0,-648800.0,-648800,0,0,0,1,2,20,36,279,174,445
169200.0,-645200.0,-645200,0,0,0,1,2,18,29,268,214,456
152600.0,-661800.0,-661800,0,0,0,0,2,19,36,277,237,399
191600.0,-622800.0,-622800,0,0,0,2,1,29,45,279,166,453
186600.0,-627800.0,-627800,0,0,0,2,1,22,40,261,203,423
156100.0,-658300.0,-658300,0,0,0,0,2,18,48,280,211,443
162900.0,-651500.0,-651500,0,0,0,1,1,23,27,238,209,441
139900.0,-674500.0,-674500,0,0,0,0,1,16,38,253,180,466
157800.0,-656600.0,-656600,0,0,0,0,5,17,31,253,217,431
143300.0,-671100.0,-671100,0,0,0,0,3,14,35,246,190,435
147500.0,-666900.0,-666900,0,0,0,0,1,21,33,260,211,453
130700.0,-683700.0,-683700,0,0,0,0,0,17,28,254,192,421
131700.0,-682700.0,-682700,0,0,0,0,1,9,43,237,191,414
173400.0,-641000.0,-641500,0,0,0,1,3,22,35,256,205,432
156100.0,-658300.0,-658300,0,0,0,0,3,20,45,298,191,421
199400.0,-615000.0,-615000,0,0,0,2,5,18,36,232,220,434
164600.0,-649800.0,-651300,0,0,0,0,6,22,38,263,191,433
149100.0,-665300.0,-665300,0,0,0,0,2,19,45,248,197,437
181900.0,-632500.0,-632500,0,0,0,1,4,24,32,270,191,487
176000.0,-638400.0,-638400,0,0,0,1,3,22,43,250,193,456
294000.0,-520400.0,-520400,0,0,1,0,1,19,37,276,192,440
161800.0,-652600.0,-652600,0,0,0,1,1,20,29,280,174,474
157900.0,-656500.0,-656500,0,0,0,0,4,22,37,261,193,448
214300.0,-600100.0,-600100,0,0,0,3,3,21,39,247,192,468
167700.0,-646700.0,-646700,0,0,0,1,3,18,32,258,178,471
150100.0,-664300.0,-664300,0,0,0,0,2,27,31,280,177,447
